state,answer_set,facility_name,independent_preference_for_dem_rep,count,n_respondents,pct_of_respondents
WA,all-surveys,"Whatcom County, WA - Main Jail",Neither,8,24,0.3333333333333333
WI,all-surveys,"Rock County, WI",Neither,8,11,0.7272727272727273
WV,all-surveys,WV DCR North Central Regional Jail,The Republican Party,8,53,0.1509433962264151
AL,all-surveys,"Tuscaloosa County Jail, AL",Neither,7,11,0.6363636363636364
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Neither, The Democratic Party",7,362,0.019337016574585635
CA,all-surveys,"Butte County, CA",The Republican Party,7,22,0.3181818181818182
CA,all-surveys,"Madera County, CA",The Republican Party,7,27,0.25925925925925924
CA,all-surveys,"Orange County, CA - Central Jail Complex",The Democratic Party,7,40,0.175
CO,all-surveys,"Pueblo County, CO",The Democratic Party,7,39,0.1794871794871795
FL,all-surveys,"Escambia County Jail, FL",The Republican Party,7,23,0.30434782608695654
FL,all-surveys,"Leon County Jail, FL",The Democratic Party,7,36,0.19444444444444445
FL,all-surveys,"Sarasota County, FL",The Republican Party,7,24,0.2916666666666667
FL,all-surveys,"St. Lucie County Jail, FL",Neither,7,11,0.6363636363636364
IL,all-surveys,"Winnebago County, IL",The Democratic Party,7,77,0.09090909090909091
KS,all-surveys,"Douglas County, KS",Neither,7,17,0.4117647058823529
MA,all-surveys,"Worcester County Jail, MA",The Republican Party,7,27,0.25925925925925924
MO,all-surveys,"Cape Girardeau County Jail, MO",The Republican Party,7,22,0.3181818181818182
MO,all-surveys,"St. Louis County Jail, MO",The Democratic Party,7,35,0.2
NJ,all-surveys,"Essex County Correctional Facility, NJ",The Democratic Party,7,27,0.25925925925925924
NJ,all-surveys,"Essex County Correctional Facility, NJ",The Republican Party,7,27,0.25925925925925924
NM,all-surveys,"Luna County Detention Center, NM",Neither,7,15,0.4666666666666667
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Neither,7,14,0.5
NY,all-surveys,"Erie County, NY",The Democratic Party,7,20,0.35
NY,all-surveys,"Niagara County Correctional Facility, NY",The Republican Party,7,25,0.28
NY,all-surveys,"Onondaga County, NY",Neither,7,9,0.7777777777777778
OH,all-surveys,"Mahoning County Justice Center, OH",The Republican Party,7,36,0.19444444444444445
OR,all-surveys,"Lincoln County, OR",Neither,7,13,0.5384615384615384
PA,all-surveys,"Allegheny County Jail, PA",The Republican Party,7,22,0.3181818181818182
PA,all-surveys,"Chester County Prison, PA",Neither,7,16,0.4375
PA,all-surveys,"Chester County Prison, PA",The Democratic Party,7,16,0.4375
PA,all-surveys,"Columbia County, PA",Neither,7,9,0.7777777777777778
PA,all-surveys,"Cumberland County Prison, PA",The Republican Party,7,13,0.5384615384615384
PA,all-surveys,"Lebanon County, PA",The Republican Party,7,20,0.35
PA,all-surveys,"Westmoreland County, PA",The Democratic Party,7,45,0.15555555555555556
SC,all-surveys,"Richland County Glenn Detention Center, SC",The Democratic Party,7,31,0.22580645161290322
TN,all-surveys,"Davidson County Detention Center, TN",The Democratic Party,7,50,0.14
TN,all-surveys,"Hamilton County, TN",Neither,7,19,0.3684210526315789
TX,all-surveys,"Hunt County, TX",Neither,7,10,0.7
TX,all-surveys,"McLennan County, TX",The Democratic Party,7,36,0.19444444444444445
TX,all-surveys,"McLennan County, TX",The Republican Party,7,36,0.19444444444444445
VA,all-surveys,"Henrico County Sheriff's Office, VA",Neither,7,11,0.6363636363636364
WA,all-surveys,"Whatcom County, WA - Main Jail",The Democratic Party,7,24,0.2916666666666667
WA,all-surveys,"Whatcom County, WA - Main Jail",The Republican Party,7,24,0.2916666666666667
WV,all-surveys,WV DCR Central Regional Jail,Neither,7,16,0.4375
WV,all-surveys,WV DCR Central Regional Jail,The Republican Party,7,16,0.4375
AL,all-surveys,"Etowah County Jail, AL",The Republican Party,6,20,0.3
AL,all-surveys,"Montgomery County, AL",Neither,6,14,0.42857142857142855
AZ,all-surveys,"Apache County Jail, AZ",Neither,6,11,0.5454545454545454
AZ,all-surveys,"Pinal County Jail, AZ",The Republican Party,6,24,0.25
AZ,all-surveys,"Yavapai County Jail, AZ",The Republican Party,6,19,0.3157894736842105
CA,all-surveys,"Alameda County-Santa Rita, CA",The Democratic Party,6,18,0.3333333333333333
CO,all-surveys,"Larimer County, CO",The Republican Party,6,22,0.2727272727272727
FL,all-surveys,"Citrus County Detention Facility, FL",Neither,6,14,0.42857142857142855
FL,all-surveys,"Lee County, FL",The Republican Party,6,23,0.2608695652173913
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Neither,6,17,0.35294117647058826
GA,all-surveys,"Athens Clarke County Jail, GA",The Democratic Party,6,25,0.24
GA,all-surveys,"Athens Clarke County Jail, GA",The Republican Party,6,25,0.24
GA,all-surveys,"Cobb County, GA",Neither,6,23,0.2608695652173913
GA,all-surveys,"Dekalb County Jail, GA",The Republican Party,6,18,0.3333333333333333
IA,all-surveys,"Polk County, IA ",The Democratic Party,6,29,0.20689655172413793
IL,all-surveys,Edovo Go - General,The Republican Party,6,12,0.5
IL,all-surveys,"Kane County, IL",The Republican Party,6,35,0.17142857142857143
IN,all-surveys,"Hamilton County Main Jail, IN",The Democratic Party,6,42,0.14285714285714285
IN,all-surveys,"La Port County Jail, IN",Neither,6,16,0.375
KS,all-surveys,"Douglas County, KS",The Republican Party,6,17,0.35294117647058826
MA,all-surveys,"Berkshire County House of Corrections, MA",Neither,6,11,0.5454545454545454
MA,all-surveys,"Middlesex County House of Corrections, MA",The Democratic Party,6,33,0.18181818181818182
MA,all-surveys,"Norfolk County Jail, MA",Neither,6,12,0.5
MA,all-surveys,"Suffolk County Jail, MA",The Democratic Party,6,28,0.21428571428571427
MD,all-surveys,"Washington County Detention Center, MD",The Republican Party,6,13,0.46153846153846156
ME,all-surveys,"Two Bridges Regional, ME",Neither,6,10,0.6
MO,all-surveys,"St. Louis County Jail, MO",The Republican Party,6,35,0.17142857142857143
NC,all-surveys,"Craven County Jail, NC",Neither,6,14,0.42857142857142855
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",The Democratic Party,6,44,0.13636363636363635
NC,all-surveys,"Onslow County Jail, NC",Neither,6,9,0.6666666666666666
NJ,all-surveys,"Cumberland County Jail, NJ",Neither,6,11,0.5454545454545454
NM,all-surveys,"Chaves County Adult Detention Center, NM",The Republican Party,6,15,0.4
NY,all-surveys,"Monroe County Sheriff's Department, NY",The Republican Party,6,38,0.15789473684210525
NY,all-surveys,"Niagara County Correctional Facility, NY",The Democratic Party,6,25,0.24
NY,all-surveys,"Onondaga County-Justice Center, NY",Neither,6,17,0.35294117647058826
