state,answer_set,facility_name,race,count,n_respondents,pct_of_respondents
FL,all-surveys,"Nassau County, FL",White,16,30,0.5333333333333333
MA,all-surveys,"Suffolk County Jail, MA",White,16,71,0.22535211267605634
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Hispanic or Latino, Native American / American Indian",15,873,0.01718213058419244
CA,all-surveys,"San Joaquin County Jail, CA",Black or African American,15,96,0.15625
CA,all-surveys,"Sonoma County, CA",White,15,42,0.35714285714285715
CO,all-surveys,"Jefferson County Detention Facility, CO",Hispanic or Latino,15,76,0.19736842105263158
FL,all-surveys,"Lake County Detention Center, FL",White,15,28,0.5357142857142857
IL,all-surveys,"Cook County, IL","Black or African American, Other",15,566,0.026501766784452298
KS,all-surveys,"Douglas County, KS",White,15,34,0.4411764705882353
MA,all-surveys,"Barnstable County Correctional Facility, MA",White,15,29,0.5172413793103449
MD,all-surveys,"Washington County Detention Center, MD",White,15,36,0.4166666666666667
MI,all-surveys,"Macomb County, MI",Black or African American,15,53,0.2830188679245283
NC,all-surveys,"Onslow County Jail, NC",Black or African American,15,33,0.45454545454545453
NY,all-surveys,"Onondaga County-Justice Center, NY",Black or African American,15,39,0.38461538461538464
OH,all-surveys,"Medina County Jail, OH",White,15,21,0.7142857142857143
UT,all-surveys,"Iron County, UT",White,15,20,0.75
VA,all-surveys,"Arlington County Detention Center, VA",Black or African American,15,34,0.4411764705882353
WA,all-surveys,"Whatcom County, WA - Main Jail",White,15,48,0.3125
WI,all-surveys,"Brown County Jail, WI",Black or African American,15,73,0.2054794520547945
CA,all-surveys,"Stanislaus County, CA",Black or African American,14,171,0.08187134502923976
GA,all-surveys,"Catoosa County Jail, GA",White,14,20,0.7
IN,all-surveys,"Floyd County Jail, IN",White,14,24,0.5833333333333334
KS,all-surveys,"Shawnee County Detention Center, KS",White,14,37,0.3783783783783784
MA,all-surveys,"Plymouth County Correctional Facility, MA",White,14,39,0.358974358974359
NY,all-surveys,"Delaware County Correctional Facility, NY",White,14,19,0.7368421052631579
NY,all-surveys,"Pasco County Corrections, FL",Hispanic or Latino,14,146,0.0958904109589041
NY,all-surveys,"Suffolk County, NY ",Hispanic or Latino,14,72,0.19444444444444445
PA,all-surveys,"Allegheny County Jail, PA",White,14,54,0.25925925925925924
PA,all-surveys,"Delaware County, PA",Black or African American,14,37,0.3783783783783784
PA,all-surveys,"Lehigh County, PA",Black or African American,14,76,0.18421052631578946
TN,all-surveys,"McMinn County Justice Center, TN",White,14,23,0.6086956521739131
WI,all-surveys,"Rock County, WI",White,14,37,0.3783783783783784
AZ,all-surveys,"Pima County Jail, AZ",Native American / American Indian,13,209,0.06220095693779904
CA,all-surveys,"Fresno County, CA",Native American / American Indian,13,224,0.05803571428571429
CA,all-surveys,"Stanislaus County, CA",Other,13,171,0.07602339181286549
FL,all-surveys,"Citrus County Detention Facility, FL",White,13,29,0.4482758620689655
FL,all-surveys,"Okaloosa County Department of Corrections, FL",Black or African American,13,61,0.21311475409836064
FL,all-surveys,"Sarasota County, FL",Black or African American,13,64,0.203125
GA,all-surveys,"Columbia County Detention Center, GA",White,13,31,0.41935483870967744
IA,all-surveys,"Polk County, IA ",Black or African American,13,44,0.29545454545454547
MA,all-surveys,"Middlesex County House of Corrections, MA",Black or African American,13,68,0.19117647058823528
ME,all-surveys,"Two Bridges Regional, ME",White,13,24,0.5416666666666666
NE,all-surveys,"Lancaster County, NE",Black or African American,13,76,0.17105263157894737
NJ,all-surveys,"Hudson County Corrections Center, NJ",Black or African American,13,32,0.40625
NY,all-surveys,"Erie County, NY",White,13,55,0.23636363636363636
NY,all-surveys,"Niagara County Correctional Facility, NY",White,13,49,0.2653061224489796
NY,all-surveys,"Onondaga County-Justice Center, NY",White,13,39,0.3333333333333333
OH,all-surveys,"Greene County, OH: Adult Detention",White,13,26,0.5
PA,all-surveys,"Chester County Prison, PA",White,13,32,0.40625
PA,all-surveys,"Columbia County, PA",White,13,22,0.5909090909090909
PA,all-surveys,"Lebanon County, PA",Hispanic or Latino,13,66,0.19696969696969696
PA,all-surveys,"Washington County, PA ",Black or African American,13,62,0.20967741935483872
TX,all-surveys,"McLennan County, TX",Hispanic or Latino,13,80,0.1625
VA,all-surveys,"Pamunkey Regional Jail, VA",Black or African American,13,58,0.22413793103448276
WA,all-surveys,"Spokane County Jail, WA",Native American / American Indian,13,82,0.15853658536585366
WI,all-surveys,"Brown County Jail, WI",Native American / American Indian,13,73,0.1780821917808219
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,White,13,17,0.7647058823529411
AL,all-surveys,"Etowah County Jail, AL",Black or African American,12,52,0.23076923076923078
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Black or African American, Other",12,873,0.013745704467353952
CA,all-surveys,"Alameda County-Santa Rita, CA",Black or African American,12,41,0.2926829268292683
CA,all-surveys,"Santa Clara County, CA","Hispanic or Latino, Native American / American Indian",12,352,0.03409090909090909
FL,all-surveys,"Lee County, FL",Hispanic or Latino,12,61,0.19672131147540983
FL,all-surveys,"St. Lucie County Jail, FL",White,12,27,0.4444444444444444
GA,all-surveys,"Cobb County, GA",White,12,58,0.20689655172413793
GA,all-surveys,"Columbia County Detention Center, GA",Black or African American,12,31,0.3870967741935484
ID,all-surveys,"Bonneville County, ID",White,12,20,0.6
IL,all-surveys,"Cook County, IL",Native American / American Indian,12,566,0.02120141342756184
IN,all-surveys,"Kosciusko County, IN",White,12,17,0.7058823529411765
KY,all-surveys,"Clay County Detention Center, KY",White,12,13,0.9230769230769231
MA,all-surveys,"Middlesex County House of Corrections, MA",Hispanic or Latino,12,68,0.17647058823529413
MA,all-surveys,"Norfolk County Jail, MA",White,12,31,0.3870967741935484
MD,all-surveys,"Washington County Detention Center, MD",Black or African American,12,36,0.3333333333333333
NM,all-surveys,"Luna County Detention Center, NM",Hispanic or Latino,12,36,0.3333333333333333
NM,all-surveys,"Luna County Detention Center, NM",White,12,36,0.3333333333333333
OH,all-surveys,"Lorain County, OH ",White,12,44,0.2727272727272727
OH,all-surveys,"Scioto County, OH ",White,12,15,0.8
SC,all-surveys,"Clarendon County, SC",Black or African American,12,19,0.631578947368421
TN,all-surveys,"Hamilton County, TN",White,12,46,0.2608695652173913
TX,all-surveys,"Johnson County, TX",Hispanic or Latino,12,50,0.24
VA,all-surveys,"Henrico County Sheriff's Office, VA",Black or African American,12,23,0.5217391304347826
VA,all-surveys,"Meherrin River Alberta, VA",Black or African American,12,24,0.5
WA,all-surveys,"Yakima County, WA",Native American / American Indian,12,110,0.10909090909090909
WI,all-surveys,"Sheboygan County Jail, WI",White,12,29,0.41379310344827586
WV,all-surveys,WV DCR Eastern Regional Jail,White,12,20,0.6
WV,all-surveys,WV DCR North Central Regional Jail,Black or African American,12,115,0.10434782608695652
CA,all-surveys,"Santa Clara County, CA","Hispanic or Latino, White",11,352,0.03125
FL,all-surveys,"Lee County, FL",Black or African American,11,61,0.18032786885245902
FL,all-surveys,"Monroe County-Key West, FL",White,11,26,0.4230769230769231
FL,all-surveys,"Pinellas County Jail, FL",Black or African American,11,89,0.12359550561797752
KS,all-surveys,"Butler County Corrections, KS",White,11,15,0.7333333333333333
KY,all-surveys,"Pulaski County, KY",White,11,11,1
MA,all-surveys,"Worcester County Jail, MA",Hispanic or Latino,11,58,0.1896551724137931
MS,all-surveys,"Madison County Detention Center, MS",Black or African American,11,18,0.6111111111111112
NC,all-surveys,"Craven County Jail, NC",Black or African American,11,33,0.3333333333333333
NC,all-surveys,Durham County NC - Detention Facility,Black or African American,11,25,0.44
NJ,all-surveys,"Burlington County Department of Corrections, NJ",White,11,47,0.23404255319148937
NJ,all-surveys,"Essex County Correctional Facility, NJ",White,11,68,0.16176470588235295
NJ,all-surveys,"Ocean County, NJ",White,11,23,0.4782608695652174
NY,all-surveys,"Onondaga County, NY",White,11,21,0.5238095238095238
PA,all-surveys,"Venango County Prison, PA",White,11,16,0.6875
PA,all-surveys,"York County, PA",White,11,18,0.6111111111111112
TX,all-surveys,"GEO Group-Kinney County, TX",Hispanic or Latino,11,25,0.44
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",White,11,28,0.39285714285714285
WA,all-surveys,"King County Adult Detention, WA",Black or African American,11,62,0.1774193548387097
WI,all-surveys,"Dodge County, WI",Black or African American,11,33,0.3333333333333333
AL,all-surveys,"Tuscaloosa County Jail, AL",White,10,35,0.2857142857142857
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Hispanic or Latino, Other",10,873,0.011454753722794959
AZ,all-surveys,"Pinal County Jail, AZ",Hispanic or Latino,10,51,0.19607843137254902
CA,all-surveys,"Alameda County-Santa Rita, CA",Hispanic or Latino,10,41,0.24390243902439024
CA,all-surveys,"Lassen County, CA",White,10,17,0.5882352941176471
CO,all-surveys,"Mesa County, CO",Hispanic or Latino,10,94,0.10638297872340426
CO,all-surveys,"Weld County, CO","Hispanic or Latino, White",10,133,0.07518796992481203
GA,all-surveys,"Bibb County Jail, GA",White,10,50,0.2
IL,all-surveys,"Cook County, IL","Black or African American, Native American / American Indian",10,566,0.0176678445229682
IL,all-surveys,"DuPage County Jail, IL",Black or African American,10,29,0.3448275862068966
MA,all-surveys,"Hampshire County, MA",White,10,25,0.4
MA,all-surveys,"Plymouth County Correctional Facility, MA",Black or African American,10,39,0.2564102564102564
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",White,10,91,0.10989010989010989
NC,all-surveys,"New Hanover County Detention Center, NC",Black or African American,10,24,0.4166666666666667
NJ,all-surveys,"Hudson County Corrections Center, NJ",Hispanic or Latino,10,32,0.3125
NM,all-surveys,"Eddy County Detention Center, NM",Hispanic or Latino,10,30,0.3333333333333333
NM,all-surveys,"Lea County Sheriff's Office, NM",Hispanic or Latino,10,35,0.2857142857142857
NY,all-surveys,"Chemung County Jail, NY",White,10,14,0.7142857142857143
NY,all-surveys,"Saratoga County Correctional Facility, NY",White,10,13,0.7692307692307693
OH,all-surveys,"Cuyahoga County Justice Center, OH",Hispanic or Latino,10,235,0.0425531914893617
OH,all-surveys,"Fairfield County, OH",White,10,15,0.6666666666666666
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",White,10,15,0.6666666666666666
PA,all-surveys,"Bradford County, PA",White,10,13,0.7692307692307693
PA,all-surveys,"Cumberland County Prison, PA",White,10,24,0.4166666666666667
PA,all-surveys,"Lancaster County Prison, PA",Hispanic or Latino,10,59,0.1694915254237288
SC,all-surveys,"Aiken County, SC",White,10,19,0.5263157894736842
SC,all-surveys,"Richland County Glenn Detention Center, SC",White,10,58,0.1724137931034483
SC,all-surveys,"Sumter County Detention Center, SC",White,10,13,0.7692307692307693
TX,all-surveys,"Hunt County, TX",White,10,25,0.4
TX,all-surveys,"Potter County Detention, TX",Black or African American,10,78,0.1282051282051282
VA,all-surveys,"Blue Ridge Regional Jail Authority, VA",Black or African American,10,28,0.35714285714285715
