state,answer_set,facility_name,likely_to_vote_in_november_election,count,n_respondents,pct_of_respondents
UT,all-surveys,"Salt Lake City County, UT",Definitely will not vote,12,49,0.24489795918367346
VA,all-surveys,"Pamunkey Regional Jail, VA",Probably will not vote,12,38,0.3157894736842105
WI,all-surveys,"Dodge County, WI",Definitely will not vote,12,26,0.46153846153846156
CA,all-surveys,"Butte County, CA",Definitely will not vote,11,45,0.24444444444444444
FL,all-surveys,Santa Rosa County FL,Probably will not vote,11,41,0.2682926829268293
GA,all-surveys,"Athens Clarke County Jail, GA",Definitely will not vote,11,50,0.22
GA,all-surveys,"Dekalb County Jail, GA",Probably will not vote,11,33,0.3333333333333333
IL,all-surveys,"Kane County, IL",Definitely will vote,11,40,0.275
IN,all-surveys,"Hamilton County Main Jail, IN",Definitely will not vote,11,61,0.18032786885245902
MO,all-surveys,"Cape Girardeau County Jail, MO",Probably will vote,11,48,0.22916666666666666
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Definitely will not vote,11,67,0.16417910447761194
NE,all-surveys,"Lancaster County, NE",Definitely will not vote,11,38,0.2894736842105263
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Definitely will not vote,11,27,0.4074074074074074
NJ,all-surveys,"Bergen County, NJ",Definitely will not vote,11,34,0.3235294117647059
NJ,all-surveys,"Bergen County, NJ",Probably will vote,11,34,0.3235294117647059
NM,all-surveys,"Luna County Detention Center, NM",Definitely will not vote,11,25,0.44
NY,all-surveys,"Niagara County Correctional Facility, NY",Definitely will not vote,11,41,0.2682926829268293
NY,all-surveys,"Suffolk County, NY ",Probably will not vote,11,50,0.22
OH,all-surveys,"Muskingum County, OH",Probably will not vote,11,22,0.5
OH,all-surveys,"Summit County, OH",Probably will not vote,11,29,0.3793103448275862
PA,all-surveys,"Delaware County, PA",Probably will vote,11,25,0.44
PA,all-surveys,"Westmoreland County, PA",Definitely will vote,11,57,0.19298245614035087
TX,all-surveys,"Guadalupe County, TX",Definitely will not vote,11,50,0.22
UT,all-surveys,"Beaver County, UT",Probably will not vote,11,28,0.39285714285714285
VA,all-surveys,"Western Regional, VA",Probably will not vote,11,36,0.3055555555555556
WA,all-surveys,"Spokane County Jail, WA",Probably will vote,11,73,0.1506849315068493
AL,all-surveys,"Etowah County Jail, AL",Definitely will not vote,10,32,0.3125
AZ,all-surveys,"Apache County Jail, AZ",Definitely will not vote,10,19,0.5263157894736842
CA,all-surveys,"Alameda County-Santa Rita, CA",Probably will vote,10,34,0.29411764705882354
CA,all-surveys,"Orange County, CA - Central Jail Complex",Definitely will not vote,10,69,0.14492753623188406
CA,all-surveys,"Orange County, CA - Central Jail Complex",Probably will vote,10,69,0.14492753623188406
CA,all-surveys,"Sonoma County, CA",Probably will not vote,10,19,0.5263157894736842
FL,all-surveys,"Escambia County Jail, FL",Probably will not vote,10,33,0.30303030303030304
FL,all-surveys,"Lee County, FL",Definitely will not vote,10,36,0.2777777777777778
GA,all-surveys,"Athens Clarke County Jail, GA",Definitely will vote,10,50,0.2
GA,all-surveys,"Bibb County Jail, GA",Definitely will vote,10,40,0.25
GA,all-surveys,"Bibb County Jail, GA",Probably will not vote,10,40,0.25
GA,all-surveys,"Bibb County Jail, GA",Probably will vote,10,40,0.25
GA,all-surveys,"Cobb County, GA",Definitely will not vote,10,33,0.30303030303030304
GA,all-surveys,"Gwinnett County Sheriffs Office, GA",Definitely will vote,10,77,0.12987012987012986
MA,all-surveys,"Bristol County House of Correction, MA",Definitely will not vote,10,47,0.2127659574468085
MA,all-surveys,"Plymouth County Correctional Facility, MA",Probably will not vote,10,32,0.3125
ME,all-surveys,"Two Bridges Regional, ME",Definitely will vote,10,18,0.5555555555555556
MI,all-surveys,"Livingston County, MI",Definitely will vote,10,25,0.4
NC,all-surveys,"Cumberland County, NC",Definitely will vote,10,71,0.14084507042253522
NH,all-surveys,"Hillsborough County House of Corrections, NH",Probably will not vote,10,17,0.5882352941176471
NM,all-surveys,"Chaves County Adult Detention Center, NM",Probably will not vote,10,26,0.38461538461538464
OR,all-surveys,"Lincoln County, OR",Definitely will vote,10,34,0.29411764705882354
PA,all-surveys,"Columbia County, PA",Probably will not vote,10,17,0.5882352941176471
TX,all-surveys,"Johnson County, TX",Definitely will vote,10,37,0.2702702702702703
TX,all-surveys,"McLennan County, TX",Probably will vote,10,56,0.17857142857142858
TX,all-surveys,"Wichita County, TX ",Definitely will vote,10,28,0.35714285714285715
UT,all-surveys,"Salt Lake City County, UT",Probably will not vote,10,49,0.20408163265306123
VA,all-surveys,"Chesapeake Correctional Center, VA",Definitely will vote,10,60,0.16666666666666666
AZ,all-surveys,"Pinal County Jail, AZ",Probably will not vote,9,36,0.25
CA,all-surveys,"Alameda County-Santa Rita, CA",Definitely will vote,9,34,0.2647058823529412
CA,all-surveys,"Alameda County-Santa Rita, CA",Probably will not vote,9,34,0.2647058823529412
CA,all-surveys,"San Joaquin County Jail, CA",Definitely will not vote,9,74,0.12162162162162163
CO,all-surveys,"Douglas Detention Center, CO",Definitely will vote,9,33,0.2727272727272727
CO,all-surveys,"Douglas Detention Center, CO",Probably will not vote,9,33,0.2727272727272727
CO,all-surveys,"Jefferson County Detention Facility, CO",Probably will not vote,9,46,0.1956521739130435
CO,all-surveys,"Larimer County, CO",Definitely will not vote,9,27,0.3333333333333333
CO,all-surveys,"Mesa County, CO",Definitely will not vote,9,60,0.15
FL,all-surveys,"Monroe County-Key West, FL",Definitely will not vote,9,17,0.5294117647058824
FL,all-surveys,"Nassau County, FL",Definitely will not vote,9,18,0.5
