state,answer_set,facility_name,party,count,n_respondents,pct_of_respondents
NY,all-surveys,"Erie County, NY",Democrat,17,57,0.2982456140350877
NY,all-surveys,"Monroe County Sheriff's Department, NY",Democrat,17,86,0.19767441860465115
OH,all-surveys,"Mahoning County Justice Center, OH",Republican,17,81,0.20987654320987653
OH,all-surveys,"Summit County, OH",Democrat,17,49,0.3469387755102041
PA,all-surveys,"Cambria County Prison, PA",Independent,17,42,0.40476190476190477
PA,all-surveys,"Lebanon County, PA",Independent,17,65,0.26153846153846155
PA,all-surveys,"Westmoreland County, PA",Republican,17,90,0.18888888888888888
TX,all-surveys,"Collin County, TX ",Republican,17,69,0.2463768115942029
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Republican,17,63,0.2698412698412698
WA,all-surveys,"Spokane County Jail, WA",Republican,17,80,0.2125
WI,all-surveys,"Brown County Jail, WI",Democrat,17,71,0.23943661971830985
CA,all-surveys,"Alameda County-Santa Rita, CA",Independent,16,41,0.3902439024390244
GA,all-surveys,"Athens Clarke County Jail, GA",Republican,16,66,0.24242424242424243
GA,all-surveys,"Dekalb County Jail, GA",Independent,16,36,0.4444444444444444
IL,all-surveys,"Cook County, IL","Independent, Republican",16,572,0.027972027972027972
IL,all-surveys,"Winnebago County, IL",Other,16,156,0.10256410256410256
IN,all-surveys,"Hamilton County Main Jail, IN",Democrat,16,97,0.16494845360824742
IN,all-surveys,"La Port County Jail, IN",Independent,16,37,0.43243243243243246
KS,all-surveys,"Douglas County, KS",Independent,16,32,0.5
KS,all-surveys,"Shawnee County Detention Center, KS",Independent,16,38,0.42105263157894735
MA,all-surveys,"Middlesex County House of Corrections, MA",Republican,16,66,0.24242424242424243
MI,all-surveys,"Kent County, MI ",Republican,16,97,0.16494845360824742
MO,all-surveys,"St. Louis County Jail, MO",Democrat,16,95,0.16842105263157894
MO,all-surveys,"St. Louis County Jail, MO",Other,16,95,0.16842105263157894
NC,all-surveys,"Cumberland County, NC",Other,16,84,0.19047619047619047
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Independent,16,31,0.5161290322580645
NJ,all-surveys,"Hudson County Corrections Center, NJ",Independent,16,32,0.5
OH,all-surveys,"Lorain County, OH ",Independent,16,46,0.34782608695652173
OH,all-surveys,"Mahoning County Justice Center, OH",Democrat,16,81,0.19753086419753085
PA,all-surveys,"Lebanon County, PA",Republican,16,65,0.24615384615384617
WV,all-surveys,WV DCR Central Regional Jail,Independent,16,41,0.3902439024390244
AL,all-surveys,"Etowah County Jail, AL",Independent,15,54,0.2777777777777778
CA,all-surveys,"Butte County, CA",Other,15,56,0.26785714285714285
CA,all-surveys,"Orange County, CA - Central Jail Complex",Other,15,102,0.14705882352941177
CA,all-surveys,"Orange County, CA - Theo Lacy",Other,15,135,0.1111111111111111
FL,all-surveys,"Sarasota County, FL",Democrat,15,64,0.234375
NE,all-surveys,"Lancaster County, NE",Republican,15,76,0.19736842105263158
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Independent,15,44,0.3409090909090909
NM,all-surveys,"Lea County Sheriff's Office, NM",Independent,15,35,0.42857142857142855
NM,all-surveys,"Santa Fe County Adult Correctional Facility, NM",Independent,15,35,0.42857142857142855
OH,all-surveys,Corrections Center of NW Ohio,Republican,15,44,0.3409090909090909
PA,all-surveys,"Washington County, PA ",Republican,15,61,0.2459016393442623
PA,all-surveys,"Westmoreland County, PA",Other,15,90,0.16666666666666666
TX,all-surveys,"Johnson County, TX",Republican,15,50,0.3
VA,all-surveys,"Rappahannock Regional Jail, VA",Other,15,75,0.2
VA,all-surveys,"Western Regional, VA",Republican,15,53,0.2830188679245283
WA,all-surveys,"Yakima County, WA",Democrat,15,110,0.13636363636363635
AZ,all-surveys,"Maricopa County Sheriff's Office, AZ","Democrat, Independent",14,872,0.016055045871559634
DC,all-surveys,DC DOC: Central Detention Facility,Republican,14,81,0.1728395061728395
FL,all-surveys,"Escambia County Jail, FL",Republican,14,53,0.2641509433962264
